sale_date,address,lot,property_type,rooms,floor,square_meters,price,difference_rate,latitude,longitude
16.01.2026,ילין דוד 9,6213-819-13,,2,שלישית,40,3070000,,32.088588,34.784561
06.10.2025,שטריקר 8,6212-365-2,דירה,3,,72,4009000,,32.091473,34.788063
30.12.2024,וולפסון 54,9021-20-18,,2,,43,2820000,,32.057438,34.774456
06.06.2023,מנדלסון 8,6215-318-8,דירה בבית קומות,3,ראשונה,61.30,3740000,,32.081629,34.777231
01.06.2023,רובין ראובן 1,6625-1131-40,דירה בבית קומות,4,ארבע עשרה,96.67,4325000,,32.117173,34.822947
01.06.2023,סהרון 10,7075-61-21,דירה בבית קומות,3,שלישית,59.80,2150000,,32.03451,34.750595
01.06.2023,פיקוס 20,7075-12-104,דירה בבית קומות,2,חמישית,41.50,1780000,,32.035746,34.752258
30.05.2023,שבתאי 29,6135-70-4,דירה בבית קומות,3,שלישית,69,1700000,,32.050837,34.792984
30.05.2023,נוה שאנן 13,6943-71-2,דירה בבית קומות,2,שלישית,49,2500000,,,
30.05.2023,סוקרטס 12,7000-124-7,דירה בבית קומות,4,רביעית+חמישית,83,3200000,,32.032516,34.746872
30.05.2023,יהודה הימית 25,7023-165-10,דירה בבית קומות,2,שניה,54,3024000,,32.04963,34.756837
29.05.2023,הרב פרנקל 46,7084-286-21,דירה בבית קומות,3,רביעית,79,3885000,,32.057092,34.771476
29.05.2023,מינץ בנימין 12,6636-706-25,,5,,110,5200000,,,
28.05.2023,לה גארדיה 69,6133-467-19,דירה בבית קומות,3,שישית,77,3330000,,,
28.05.2023,השלום 117,6164-318-11,דירה בבית קומות,3,ראשונה,80,2400000,,32.060143,34.807286
27.05.2023,לה גארדיה 69,6133-467-12,,3,,77,3330000,,,
27.05.2023,שלומציון המלכה 3,6212-501-15,,5,,161,10855000,,32.094888,34.784737
27.05.2023,נורדאו 78,6957-181-19,,4,,84,4706287,,32.091801,34.780697
25.05.2023,דיזנגוף 179,6902-162-12,דירה בבית קומות,2,ראשונה,27.07,1950000,,32.085377,34.774375
24.05.2023,ויקטור הוגו 6,7076-96-11,דירה בבית קומות,5,שלישית,58.90,3140000,,32.048951,34.758128
24.05.2023,הרצל 105,7061-248-12,דירה בבית קומות,2,ראשונה,40.10,1175000,,32.053389,34.770746
23.05.2023,מאפו 6,6905-15-2,דירה בבית קומות,3,ראשונה,71.40,4600000,,32.080538,34.76899
22.05.2023,נחמני 7,7451-22-18,דירה בבית קומות,4,חמישית,118.55,9000000,,32.066549,34.773212
22.05.2023,צונץ 16,6992-30-17,דירה בבית קומות,4,ראשונה,98,3410000,,32.042122,34.76536
22.05.2023,אונטרמן איסר יהודה 8,6132-375-8,דירה בבית קומות,5,ה 2,144.70,3400000,,,
21.05.2023,בושם 10,7242-114-47,דירה בבית קומות,3,שניה,73.40,2260000,,32.0444074,34.801742
21.05.2023,טירת צבי 6,7110-258-31,דירה בבית קומות,4,שמינית,80,3350000,,32.077266,34.797472
20.05.2023,דיזנגוף 78,7092-101-3,,4,,119,8160000,,32.076626,34.774777
18.05.2023,החלוצים 56,7084-203-29,דירה בבית קומות,2,שלישית,36,2350000,,32.0565,34.772132
18.05.2023,נורדאו 33,6959-93-9,דירה בבית קומות,3,שביעית,82,7950000,,32.092526,34.776821
18.05.2023,ברנדיס 8,6212-933-7,דירה בבית קומות,4,----,109,6850000,,32.091659,34.787249
17.05.2023,יפת 38,7259-8-172,דירה בבית קומות,4,שישית,100.60,6603000,,32.0519236,34.7528778
17.05.2023,נורדאו 33,6959-93-5,,3,,82,7950000,,32.092526,34.776821
17.05.2023,פלורנטין 2,7051-103-63,דירה בבית קומות,2,שניה,39,2680000,,32.056213,34.7672239
17.05.2023,בצלאל 3,6217-205-6,דירה בבית קומות,3,חמישית,82,5850000,,32.081254,34.783065
17.05.2023,קהילת לודג' 54,6636-370-6,דירה בבית קומות,3,ראשונה,77,3650000,,,
16.05.2023,התנאים 26,7223-10-4,דירה בבית קומות,3,שניה,66.50,3400000,,32.117441,34.795881
16.05.2023,פרחי אביב 17,7093-480-6,דירה בבית קומות,4,שלישית,75.50,3700000,,32.075274,34.797951
16.05.2023,מעפילי אגוז 1,7241-28-89,דירה בבית קומות,4,חמישית,70,2086000,,32.049621,34.811672
16.05.2023,אחימאיר אבא 1,6631-129-89,מחסנים,0,,173000,,,32.125234,34.79844
16.05.2023,פסטר 3,7259-8-242,,4,,118,6537000,,32.0525718,34.7520412
15.05.2023,פישמן מימון 7,6111-839-14,דירה בבית קומות,4,רביעית,103,7900000,,,
14.05.2023,בוקי בן יגלי 9,6911-127-2,,3,ראשונה,62,2296962,,32.073958,34.774344
14.05.2023,עמק איילון 24,6133-469-1,,5,שמינית,105,4099700,,32.059893,34.799185
14.05.2023,רוטנשטרייך 20,7243-8-10,דירה בבית קומות,2,שלישית,46.10,1640000,,32.046095,34.812812
12.05.2023,מקוה ישראל 23,7446-8-8,דירה בבית קומות,2,שלישית,47,3085000,,32.062841,34.777358
11.05.2023,,6624-461-1,דירה בבית קומות,4,שניה,108,4050000,
11.05.2023,הכרמל 40,6918-30-8,חנות,0,קרקע  ,388000,,,32.068052,34.768329
11.05.2023,בויאר אברהם 3,6631-195-33,דירה בבית קומות,5,שלישית,119.20,5350000,,32.122893,34.797131
10.05.2023,קהילת לבוב 27,6636-274-3,דירה בבית קומות,2,ראשונה,26.53,2070000,,32.11174,34.820605
10.05.2023,יוחנן הורקנוס 31,6212-1349-23,דירה בבית קומות,5,חמישית,130,7000000,,32.094173,34.782878
09.05.2023,ברנשטין כהן 11,6911-61-5,דירה בבית קומות,3,ראשונה,60,4250000,,,
09.05.2023,הגדוד העברי 66,6946-55-13,דירה בבית קומות,2,שניה,60,2325000,,32.057174,34.779733
09.05.2023,יחזקאל 44,6959-20-7,דירה בבית קומות,3,רביעית,66,4966000,,32.094382,34.777184
09.05.2023,מרים החשמונאית 22,6212-1192-12,דירה בבית קומות,3,שלישית,83.23,5550000,,32.093174,34.784199
09.05.2023,שטרוק 7,6217-267-4,דירה בבית קומות,4,ראשונה,79,6820000,,32.082943,34.78197
08.05.2023,מזאה 3,6933-136-41,דירה בבית קומות,4,אחת עשרה,122.10,7140000,,,
08.05.2023,נורדאו 57,6957-32-9,,3,,55,4200000,,32.092367,34.77862
08.05.2023,אנטיגונוס 1,6212-1192-20,,3,,83,5550000,,32.093145,34.784232
08.05.2023,שיבת ציון 4,6948-61-35,דירה בבית קומות,5,ראשונה,123,6000000,,32.055821,34.774727
08.05.2023,יחזקאל 44,6959-20-6,,3,,68,4960000,,32.094382,34.777184
08.05.2023,מרכלת 4,7083-189-3,דירה בבית קומות,3,ה 1,77.20,3800000,,,
08.05.2023,מינץ בנימין 16,6636-704-13,,5,,145,8200000,,,
08.05.2023,,6628-863-1,מחסנים,0,,112000,,
